datetime,AAPL,GOOG,cash,commission,total,comission,returns,equity_curve,drawdown
2020-06-18,0.0,0.0,-127830.6011,,15765.39499999999,0.0,-0.08772457904795572,157.65394999999995,29.890015000000147
2020-06-19,0.0,0.0,-127830.6011,,15341.396000000008,0.0,-0.026894283333844915,153.41396000000015,34.130004999999954
2020-06-22,0.0,0.0,-127830.6011,,17355.397400000016,0.0,0.1312788875275761,173.5539740000002,13.98999099999989
2020-06-23,0.0,0.0,-127830.6011,,18610.402299999987,0.0,0.07231208085157248,186.10402299999993,1.4399420000001726
2020-06-24,0.0,0.0,-127830.6011,,15366.396000000008,0.0,-0.17431145483620103,153.66396000000012,33.88000499999998
2020-06-25,0.0,0.0,-127830.6011,,16302.394499999995,0.0,0.06091203819034652,163.023945,24.520020000000102
2020-06-26,0.0,0.0,-127830.6011,,8159.401299999998,0.0,-0.49949675797625925,81.594013,105.9499520000001
2020-06-29,0.0,0.0,-127830.6011,,11666.396000000008,0.0,0.4298102974785676,116.66396000000012,70.88000499999998
2020-06-30,0.0,0.0,-127830.6011,,13530.397400000016,0.0,0.15977525535735349,135.3039740000002,52.23999099999989
2020-07-01,0.0,0.0,-127830.6011,,15973.40280000001,0.0,0.18055681054866812,159.73402800000017,27.809936999999934
2020-07-02,0.0,0.0,-127830.6011,,18639.394,0.0,0.16690189519292575,186.39394000000007,1.1500250000000278
2020-07-06,0.0,0.0,-127830.6011,,21739.394,0.0,0.16631441987867213,217.3939400000001,0.0
2020-07-07,0.0,0.0,-127830.6011,,20687.404299999995,0.0,-0.048390939508249686,206.87404300000003,10.519897000000071
2020-07-08,0.0,0.0,-127830.6011,,21769.3989,0.0,0.05230209572498201,217.69398900000007,0.0
2020-07-09,0.0,0.0,-127830.6011,,23268.39790000001,0.0,0.06885807949433143,232.6839790000002,0.0
2020-07-10,0.0,0.0,-127830.6011,,26343.39790000001,0.0,0.13215349046442082,263.4339790000002,0.0
2020-07-13,0.0,0.0,-127830.6011,,23303.395500000013,0.0,-0.11539902375312017,233.03395500000022,30.400023999999974
2020-07-14,0.0,0.0,-127830.6011,,24227.394499999995,0.0,0.03965083114175272,242.27394500000003,21.160034000000167
2020-07-15,0.0,0.0,-127830.6011,,23533.400399999984,0.0,-0.028645015872425406,235.3340039999999,28.099975000000285
2020-07-16,0.0,0.0,-127830.6011,,23969.3989,0.0,0.018526795643183602,239.69398900000004,23.739990000000148
2020-07-17,0.0,0.0,-127830.6011,,23724.4038,0.0,-0.010221161616197239,237.24403800000005,26.189941000000147
2020-07-20,0.0,0.0,-127830.6011,,28741.396000000008,0.0,0.21146968506749197,287.41396000000015,0.0
2020-07-21,0.0,0.0,-127830.6011,,28011.403300000005,0.0,-0.025398651478167666,280.1140330000001,7.299927000000025
2020-07-22,0.0,0.0,-127830.6011,,29018.39790000001,0.0,0.03594945205761979,290.18397900000014,0.0
2020-07-23,0.0,0.0,-127830.6011,,23737.404299999995,0.0,-0.1819877726605994,237.37404299999997,52.809936000000164
2020-07-24,0.0,0.0,-127830.6011,,23356.398400000005,0.0,-0.016050866185060908,233.5639840000001,56.619995000000046
2020-07-27,0.0,0.0,-127830.6011,,25189.394,0.0,0.07847937719712794,251.89394000000004,38.29003900000009
2020-07-28,0.0,0.0,-127830.6011,,22203.395500000013,0.0,-0.11854189505313173,222.0339550000002,68.15002399999995
2020-07-29,0.0,0.0,-127830.6011,,24371.40089999998,0.0,0.0976429663652103,243.71400899999983,46.4699700000003
2020-07-30,0.0,0.0,-127830.6011,,25314.394,0.0,0.038692609582406945,253.14394000000004,37.04003900000009
2020-07-31,0.0,0.0,-127830.6011,,20465.39499999999,0.0,-0.19155105984366094,204.65394999999992,85.53002900000021
2020-08-03,0.0,0.0,-127830.6011,,19614.394,0.0,-0.04158243708464893,196.14394000000004,94.04003900000009
2020-08-04,0.0,0.0,-127830.6011,,18666.396000000008,0.0,-0.04833175065209727,186.66396000000012,103.52001900000002
2020-08-05,0.0,0.0,-127830.6011,,19530.397400000016,0.0,0.04628646043939111,195.3039740000002,94.88000499999993
2020-08-06,0.0,0.0,-127830.6011,,22179.396500000003,0.0,0.1356346747967343,221.7939650000001,68.39001400000004
2020-08-07,0.0,0.0,-127830.6011,,21618.39790000001,0.0,-0.025293681908792776,216.1839790000002,73.99999999999994
2020-08-10,0.0,0.0,-127830.6011,,21779.396500000003,0.0,0.007447295620365724,217.79396500000013,72.39001400000001
2020-08-11,0.0,0.0,-127830.6011,,20201.393500000006,0.0,-0.07245393599404815,202.01393500000015,88.17004399999999
2020-08-12,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-13,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-14,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-17,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-18,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-19,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-20,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-21,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-24,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-25,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-26,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-27,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-28,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-08-31,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-01,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-02,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-03,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-04,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
2020-09-08,0.0,0.0,20201.393500000006,,20201.393500000006,0.0,0.0,202.01393500000015,88.17004399999999
